Codice	Denominazione	Chiave	Comune	Zona	Ente propr.
002060	VIA S.C.E. 80 TORRE DELL'ESCA	S.C.E. 80 TORRE DELL'ESCA     	1		
001593	VIA S.C.E. FISCALE	S.C.E. FISCALE                	1		
001595	VIA S.C.E. LAMA DI STEZZO	S.C.E. LAMA DI STEZZO         	1		
002005	VIA S.C.E. MONTANARI	S.C.E. MONTANARI              	1		
001167	VIA SABINI P	SABINI P                      	1		
001169	VIA SABINI V	SABINI V                      	1		
001171	VIA SACRO CUORE	SACRO CUORE                   	1		
001173	VIA SALENTO	SALENTO                       	1		
001175	VIA SALERNO	SALERNO                       	1		
001179	VIA SALSOMAGGIORE	SALSOMAGGIORE                 	1		
001181	VIA SALUZZO	SALUZZO                       	1		
001185	VIA SALVEMINI G	SALVEMINI G                   	1		
099999	VIA SALVO D'ACQUISTO	SALVO D'AQUISTO			
001476	VIA SAN GIOVANNI ROTONDO	G.ROTONDO	1		
001187	VIA SANGRO	SANGRO                        	1		
00999	VIA SANT'AGOSTINO	VIA			
001189	VIA SANTERAMO	SANTERAMO                     	1		
001188	VIA SANTERAMO RONDO'	SANTERAMO RONDO'	ALTAMURA	1	CO
001191	VIA SANTINI	SANTINI                       	1		
001195	VIA SANTORO D.CO	SANTORO D.CO                  	1		
001199	VIA SANZIO RAFF.	SANZIO RAFF.                  	1		
001201	VIA SARAGAT	SARAGAT                       	1		
001203	VIA SARDEGNA	SARDEGNA                      	1		
001205	VIA SASSARI	SASSARI                       	1		
001207	VIA SAURO NAZ.	SAURO NAZ.                    	1		
001213	VIA SAVONA	SAVONA                        	1		
001211	VIA SAVONAROLA	SAVONAROLA                    	1		
001217	VIA SCARATI F.	SCARATI F.                    	1		
001219	VIA SCARLATTI	SCARLATTI                     	1		
001210	VIA SCHIFANI	001210	1		
001220	VIA SCOTELLARO R.	SCOTELLARO R                  	1		
001218	VIA SCOTELLARO R.	SCOTELLARO R                  	1		
001221	VIA SELE	SELE                          	1		
001222	VIA SELLA Q.	SELLA Q.                      	1		
001224	VIA SELLA Q. LATO SCUOLA	SELLA Q. LATO SCUOLA          	1		
001223	VIA SELVA	SELVA                         	1		
002249	VIA SELVA FRONTE IST. DE NORA	SELVA	1		
001227	VIA SERENA F.LLI	SERENA F.LLI                  	1		
001231	VIA SERIO	SERIO                         	1		
001232	VIA SERPILLO	SERPILLO			
001233	VIA SESIA	SESIA                         	1		
001237	VIA SETTEMBRINI	SETTEMBRINI                   	1		
001239	VIA SICILIA	SICILIA                       	1		
001241	VIA SIENA	SIENA                         	1		
001243	VIA SILA	SILA                          	1		
001247	VIA SINNI	SINNI                         	1		
001245	VIA SIPONTO	SIPONTO                       	1		
001249	VIA SIRACUSA	SIRACUSA                      	1		
001251	VIA SIRTICA	SIRTICA                       	1		
001255	VIA SOLFERINO	SOLFERINO                     	1		
001261	VIA SOLOFRANO	SOLOFRANO                     	1		
001263	VIA SOMALIA	SOMALIA                       	1		
001265	VIA SONDRIO	SONDRIO                       	1		
001267	VIA SORRENTO	SORRENTO                      	1		
001269	VIA SPALATO	SPALATO                       	1		
001272	VIA SPELLO	SPELLO                        	1		
001275	VIA SPENNATO POMPEO	SPENNATO POMPEO               	1		
001279	VIA SPIRITO DI SPIRITI	SPIRITO DI SPIRITI            	1		
001271	VIA SPOLETO	SPOLETO                       	1		
001273	VIA SPONTINI	SPONTINI                      	1		
001495	VIA SS TRINITA	SS TRINITA                    	1		
001280	VIA STACCA FRANCESCO	STACCA F			CO
001283	VIA STASOLLA PRIV.	STASOLLA PRIV.                	1		
001282	VIA STIGLIANO	STIGLIANO			
001284	VIA STOCCOLMA	STOCCOLMA	1		
000686	VIA STR.P.LE 177 LAMENA	STR.P.LE 177 LAMENA           	1		
000188	VIA STR.PRIV.F.LLI CAGNAZZI	STR.PRIV.F.LLI CAGNAZZI       	1		
002036	VIA STRADA COM.LE GROTTA FORMI	STRADA COM.LE GROTTA FORMICA  	1		
001285	VIA STRESA	STRESA                        	1		
001287	VIA STROMBOLI	STROMBOLI                     	1		
001289	VIA STURA	STURA                         	1		
001291	VIA STURZO don	STURZO don                    	1		
001293	VIA SUPERGA	SUPERGA                       	1		
000680	VIA Strada "LAMA MORELLO"	Strada "LAMA MORELLO"         	1		
002265	VIA T. CLEMENTE	CLEMENTE	1		
001413	VIA TAGLIAMENTO	TAGLIAMENTO                   	1		
001415	VIA TANARA	TANARA                        	1		
001417	VIA TAORMINA	TAORMINA                      	1		
001419	VIA TARANTO	TARANTO                       	1		
001421	VIA TARO	TARO                          	1		
001423	VIA TASSO TOR.	TASSO TOR.                    	1		
000853	VIA TEATRO MERCADANTE	TEATRO MERCADANTE             	1		
001425	VIA TEATRO VECCHIO	TEATRO VECCHIO                	1		
001427	VIA TENDA	TENDA                         	1		
001429	VIA TEOCRITO	TEOCRITO                      	1		
001431	VIA TERAMO	TERAMO                        	1		
001433	VIA TERLIZZI	TERLIZZI                      	1		
001435	VIA TERMOLI	TERMOLI                       	1		
001437	VIA TERNI	TERNI                         	1		
001439	VIA TERRACINA	TERRACINA                     	1		
001441	VIA TERRANOVA F	TERRANOVA F                   	1		
001443	VIA TEVERE	TEVERE                        	1		
001445	VIA TIBERIO	TIBERIO                       	1		
001447	VIA TIMAVO	TIMAVO                        	1		
000694	VIA TINA LAUDATI	LAUDATI TINA		1	CO
001449	VIA TIRELLI M	TIRELLI M                     	1		
001451	VIA TIVOLI	TIVOLI                        	1		
001453	VIA TOBRUK	TOBRUK                        	1		
001455	VIA TOCE	TOCE                          	1		
001457	VIA TOMMASEO	TOMMASEO                      	1		
001459	VIA TORINO	TORINO                        	1		
001469	VIA TORRE CANNE	TORRE CANNE                   	1		
001461	VIA TOSCANA	TOSCANA                       	1		
001463	VIA TOTA F	TOTA F                        	1		
001465	VIA TOTI E	TOTI E                        	1		
001467	VIA TOTI F	TOTI F                        	1		
001479	VIA TRANI	TRANI                         	1		
001481	VIA TRAPANI	TRAPANI                       	1		
001483	VIA TREBBIA	TREBBIA                       	1		
001485	VIA TREMITI	TREMITI                       	1		
002051	VIA TRENTACAPILLI	TRENTACAPILLI                 	1		
001487	VIA TRENTO	TRENTO                        	1		
001489	VIA TREVISO	TREVISO                       	1		
001493	VIA TRIESTE	TRIESTE                       	1		
001494	VIA TRINITA'	TRINITA'                      	1		
001497	VIA TRIPOLI	TRIPOLI                       	1		
001499	VIA TRITTO G	TRITTO G                      	1		
001501	VIA TRIZIO F	TRIZIO F                      	1		
001503	VIA TRONTO	TRONTO                        	1		
001505	VIA TUFARA	TUFARA                        	1		
001507	VIA TURCO CANDIDO	TURCO CANDIDO                 	1		
001509	VIA UDINE	UDINE                         	1		
001513	VIA UMBRIA	UMBRIA                        	1		
001517	VIA URBINO	URBINO                        	1		
001565	VIA V VENETO	V VENETO                      	1		
001526	VIA V. BUONCAMMINO LATODX DIR.SANTU	BUONCAMMINO	1		
002329	VIA V. MORAMARCO	MORAMARCO	1		
002319	VIA V. RUSSO	RUSSO	1		
001548	VIA V. VICENTI	VICENTI	1		
001519	VIA VARESE	VARESE                        	1		
001521	VIA VASTO	VASTO                         	1		
001524	VIA VECCHIA BARI	VECCHIA BARI                  	1		
001525	VIA VECCHIA BOVIO	VECCHIA BOVIO                 	1		
001523	VIA VECCHIA BUONCAMMINO	VECCHIA BUONCAMMINO           	1		
001527	VIA VENETO	VENETO                        	1		
001529	VIA VENEZIA	VENEZIA                       	1		
001531	VIA VENTIMIGLIA	VENTIMIGLIA                   	1		
001533	VIA VENTRICELLI G	VENTRICELLI G                 	1		
001532	VIA VENTURO MICHELE	MICHELE VENTURO 	ALTAMURA		CO
001535	VIA VERBANIA	VERBANIA                      	1		
001539	VIA VERCELLI	VERCELLI                      	1		
001537	VIA VERDI G	VERDI G                       	1		
001541	VIA VERONA	VERONA                        	1		
001543	VIA VESUVIO	VESUVIO                       	1		
001545	VIA VEZZANO	VEZZANO                       	1		
001547	VIA VIAREGGIO	VIAREGGIO                     	1		
001549	VIA VICENZA	VICENZA                       	1		
001553	VIA VILLA S GIOVANNI	VILLA S GIOVANNI              	1		
001551	VIA VILLAFRANCA	VILLAFRANCA                   	1		
001552	VIA VILLETTA ANT. CHIESA S.DOM	VILLETTA ANT. CHIESA S.DOMENIC	1		
002223	VIA VILLETTA COM.LE	VILLETTA COM.LE               	1		
001555	VIA VIRGILIO	VIRGILIO                      	1		
001557	VIA VISTA G	VISTA G                       	1		
001559	VIA VITERBO	VITERBO                       	1		
001561	VIA VITI P.LE	VITI P.LE                     	1		
001567	VIA VIVALDI	VIVALDI                       	1		
001571	VIA VOLTA A	VOLTA A                       	1		
001575	VIA VOLTURNO	VOLTURNO                      	1		
001573	VIA VULTURE	VULTURE                       	1		
001235	VIA XX SETTEMBRE	XX SETTEMBRE                  	1		
001577	VIA ZANDONAI	ZANDONAI                      	1		
001581	VIA ZARA	ZARA                          	1		
001583	VIA ZAVIA	ZAVIA                         	1		
001584	VIA ZIGNAGO strada privata	ZIGNAGO strada privata        	1		
001585	VIA ZINGARELLI	ZINGARELLI                    	1		
001587	VIA ZOLA E	ZOLA E                        	1		
001589	VIA ZUARA	ZUARA                         	1		
001591	VIA ZUPPETTA	ZUPPETTA                      	1		
000367	VIALE COSTANTINO	COSTANTINO                    	1		
002224	VIALE DELLA PACE	DELLA PACE	1		
002225	VIALE DELLA PACE FRON. CIMITERO	DELLA PACE	1		
000808	VIALE MARTIRI DIF.IV NOVEMBRE	MARTIRI DIF.IV NOVEMBRE       	1		
001158	VIALE MONS. TARCISIO PISANI	PISANI			
000990	VIALE P. PIO DA P. LATO PALZ SPORT	P. PIO LATO PALAZZETTO SPORT			
000988	VIALE PADRE PIO DA PIETRALCINA	PADRE PIO DA PIETRALCINA      	1		
000713	VICO LEPANTO	LEPANTO                       	1		
000712	VICO MONASTERO DEL SOCCORSO	VICO M.DEL SOCCORSO		1	CO
000810	VLE MARTIRI 1799	MARTIRI 1799                  	1		
001117	VLE R MARGHERITA	R MARGHERITA                  	1		
001473	VLE TRAIANO	TRAIANO                       	1		
