Codice	Denominazione	Chiave	Comune	Zona	Ente propr.
000857	V.CO MERCADANTE SAVERIO	MERCADANTE SAVERIO            	1		
000576	V.LE G.M. GENCO	GENCO			
000812	V.LE MARTIRI DIF.CIV.	MARTIRI DIF.CIV.              	1		
000502	V.LE MICHELE FELICE CHIRONNA	CHIRONNA			
000992	V.LE P. PIO DA P. FRONTE IST. NERVI	P. PIO DA PIEDRALCINA	ALTAMURA	1	CO
001118	V.LE R.MARGHERITA DIFRONTE CIV	R.MARGHERITA DIFRONTE CIV.    	1		
000193	V.LO CALIA	CALIA                         	1		
000223	V.LO CARBONARI	CARBONARI                     	1		
000259	V.LO CASTELLI	CASTELLI                      	1		
000687	V.LO LANZA	LANZA                         	1		
000779	V.LO MANDOLLA	MANDOLLA                      	1		
001309	V.LO S CARLO	S CARLO                       	1		
001357	V.LO S LORENZO	S LORENZO                     	1		
001209	V.LO SAVOIA	SAVOIA                        	1		
001253	V.LO SOCCORSO	SOCCORSO                      	1		
001471	V.LO TRAETTA	TRAETTA                       	1		
011111	VIA   ATENE	ATENE			
000769	VIA 24 MAGGIO	24 MAGGIO                     	1		
002283	VIA A. DE CURTIS	DE CURTIS	1		
002282	VIA A. DE CURTIS PIAZZA ATLETI	VIA A. DE CURTIS PZA ATLETI		1	CO
000001	VIA ABBAZIA	ABBAZIA                       	1		
000003	VIA ABETONE	ABETONE                       	1		
000005	VIA ABRUZZI	ABRUZZI                       	1		
000007	VIA ADAMELLO	ADAMELLO                      	1		
000009	VIA ADDA	ADDA                          	1		
000011	VIA ADIGE	ADIGE                         	1		
000013	VIA ADIGRAT	ADIGRAT                       	1		
000015	VIA AGEDABIA	AGEDABIA                      	1		
000264	VIA AGOSTINO CATALANO	VIA CATALANO AGOSTINO		1	CO
000016	VIA AGRI	AGRI                          	1		
000017	VIA AGRIGENTO	AGRIGENTO                     	1		
000019	VIA ALBANO	ALBANO                        	1		
000021	VIA ALBENGA	ALBENGA                       	1		
000022	VIA ALBEROBELLO	ALBEROBELLO                   	1		
000023	VIA ALESSANDRIA	ALESSANDRIA                   	1		
000025	VIA ALFIERI VITTORIO	ALFIERI VITTORIO              	1		
000026	VIA ALIGHIERI DANTE	ALIGHIERI DANTE               	1		
000024	VIA ALMIRANTE	ALMIRANTE                     	1		
000029	VIA AMALFI	AMALFI                        	1		
000200	VIA AMATRICE	AMATRICE			
000031	VIA AMBA ALAGI	AMBA ALAGI                    	1		
000034	VIA AMENDOLA	AMENDOLA                      	1		
011285	VIA AMSTERDAM	VIA AMSTERDAM	1		
000035	VIA ANCONA	ANCONA                        	1		
000600	VIA ANDREA GIORGIO	 ANDREA GIORGIO		1	CO
000037	VIA ANDRIA	ANDRIA                        	1		
000039	VIA ANGELASTRI AGAZIO	ANGELASTRI AGAZIO             	1		
000041	VIA ANIENE	ANIENE                        	1		
000043	VIA ANN. MARIA DI FRANCIA	ANNIB.MARIA DI FRANCIA	1		
000047	VIA AOSTA	AOSTA                         	1		
000049	VIA APRILIA	APRILIA                       	1		
000051	VIA AQUILEIA	AQUILEIA                      	1		
002251	VIA ARALDO DI CROLLALANZA	CROLLALANZA	1		
000053	VIA AREZZO	AREZZO                        	1		
000055	VIA ARIMONDI GEN	 ARIMONDI                  	1		
000057	VIA ARIOSTO LUDOVICO	ARIOSTO LUDOVICO              	1		
000063	VIA ARNO	ARNO                          	1		
000065	VIA ARONA	ARONA                         	1		
000067	VIA ASCOLI PICENO	ASCOLI PICENO                 	1		
000069	VIA ASMARA	ASMARA                        	1		
000087	VIA ASPROMONTE	ASPROMONTE                    	1		
000071	VIA ASSISI	ASSISI                        	1		
000073	VIA ASTI	ASTI                          	1		
000075	VIA AUGUSTA	AUGUSTA                       	1		
000077	VIA AVELLINO	AVELLINO                      	1		
000079	VIA AVERSA	AVERSA                        	1		
000081	VIA AVEZZANO	AVEZZANO                      	1		
000085	VIA AXURI	AXURI                         	1		
111111	VIA BADEN POWEL	111111			
000089	VIA BAINSIZZA	BAINSIZZA                     	1		
000091	VIA BALBO CESARE	BALBO CESARE                  	1		
000094	VIA BALDASSARRA F.PPO LATO G.DIA ME	BALDASSARRA FILIPPO LATO OSPED	1		
000093	VIA BALDASSARRA FILIPPO	BALDASSARRA FILIPPO           	1		
000098	VIA BANDIERA	BANDIERA                      	1		
000107	VIA BARACCA FRANCESCO	BARACCA FRANCESCO             	1		
000101	VIA BARBANTANO ALOISIO	BARBANTANO ALOISIO            	1		
002340	VIA BARCELLONA	BARCELLONA	1		CO
000103	VIA BARDIA	BARDIA                        	1		
000105	VIA BARI	BARI                          	1		
000104	VIA BARI DI FRONTE AL CIVICO	BARI DI FRONTE AL CIVICO      	1		
000099	VIA BARLETTA	BARLETTA                      	1		
000122	VIA BARNABA	BARNABA	1		CO
000109	VIA BASENTO	BASENTO                       	1		
000111	VIA BASSANO	BASSANO                       	1		
000113	VIA BASSI UGO	BASSI UGO                     	1		
000117	VIA BASTELLI	BASTELLI                      	1		
000119	VIA BATTISTI CESARE	BATTISTI CESARE               	1		
000123	VIA BELLINI VINCENZO	BELLINI VINCENZO              	1		
001458	VIA BELLO DON TONINO	BELLO DON TONINO              	1		
000125	VIA BELLUNO	BELLUNO                       	1		
000126	VIA BENCIVENGA	BENCIVENGA                    	1		
000129	VIA BENEVENTO	BENEVENTO                     	1		
000127	VIA BENGASI	BENGASI                       	1		
000133	VIA BERGAMO	BERGAMO                       	1		
000134	VIA BERLINO	BERLINO                       	1		
000130	VIA BERLOCO MICHELE	MICHELE BERLOCO		1	CO
000136	VIA BERNA	BERNA                         	1		
000236	VIA BERNA	BERNA                         	1		
000135	VIA BERNINI	BERNINI                       	1		
000137	VIA BERSAGLIO	BERSAGLIO                     	1		
000139	VIA BEZZECCA	BEZZECCA                      	1		
000141	VIA BIELLA	BIELLA                        	1		
000142	VIA BITONTO	BITONTO                       	1		
000143	VIA BIXIO NINO	BIXIO NINO                    	1		
000145	VIA BOCCACCIO	BOCCACCIO                     	1		
000147	VIA BOITO ARRIGO	BOITO ARRIGO                  	1		
000149	VIA BOLOGNA	BOLOGNA                       	1		
000153	VIA BOLZANO	BOLZANO                       	1		
000151	VIA BONGHI RUGGERO	BONGHI RUGGERO                	1		
000155	VIA BORMIDA	BORMIDA                       	1		
000156	VIA BORSELLINO	BORSELLINO                    	1		
000157	VIA BOSCHETTO	BOSCHETTO                     	1		
000159	VIA BOVIO GIOVANNI	BOVIO GIOVANNI                	1		
000161	VIA BRADANO	BRADANO                       	1		
000163	VIA BRENTA	BRENTA                        	1		
000165	VIA BRESCIA	BRESCIA                       	1		
000167	VIA BRESSO	BRESSO                        	1		
000169	VIA BRIGA	BRIGA                         	1		
000131	VIA BRIN BENEDETTO	BRIN BENEDETTO                	1		
000171	VIA BRINDISI	BRINDISI                      	1		
000173	VIA BRUNO FLLI	BRUNO FLLI                    	1		
000732	VIA BRUXELLES	BRUXELLES	1		
000175	VIA BUCCARI	BUCCARI                       	1		
000177	VIA BUONARROTI	BUONARROTI                    	1		
000179	VIA BUSANO	BUSANO                        	1		
000181	VIA BUSSETO	BUSSETO                       	1		
002263	VIA C. VITALE	VITALE	1		
000183	VIA CADORNA	CADORNA                       	1		
000186	VIA CADUTI DELLE FOIBE	CADUTI DELLE FOIBE            	1		
000184	VIA CADUTI DI NASSYRIA	NASSIRYA			
000185	VIA CADUTI DI VIA FANI	CADUTI DI VIA FANI            	1		
000187	VIA CAGLIARI	CAGLIARI                      	1		
000189	VIA CAIROLI	CAIROLI                       	1		
000191	VIA CALABRIA	CALABRIA                      	1		
002250	VIA CALDERAZZI	CALDERAZZI			
000195	VIA CALORE	CALORE                        	1		
000199	VIA CAMPANIA	CAMPANIA                      	1		
000201	VIA CAMPIONE D'ITALIA	CAMPIONE D'ITALIA             	1		
000198	VIA CAMPIONE D'ITALIA LATO VILLETTE	VIA CAMPIONE D'ITALIA VILLETTE	1	1	CO
002345	VIA CAMPIONE D'TALIA FRONTE PARCO	VIA CAMPIONE D'ITALIA	1	1	CO
000203	VIA CAMPOBASSO	CAMPOBASSO                    	1		
000205	VIA CANDIOTA ONORATO	CANDIOTA ONORATO              	1		
000207	VIA CANOSA	CANOSA                        	1		
000209	VIA CANOVA A	CANOVA A                      	1		
000211	VIA CANTON TICINO	CANTON TICINO                 	1		
000213	VIA CAPPELLINI	CAPPELLINI                    	1		
000215	VIA CAPPONI PIETRO	CAPPONI PIETRO                	1		
000217	VIA CAPRERA	CAPRERA                       	1		
