Articolo	Comma	Codice	Descrizione	Sanzione 60gg.	Sanz. sconto 30%	Punti patente	Codice sanz. acc.	Sanzione Accessoria 1	Data Istat	Data inizio validità effettiva	Data inizio validità	Data fine validità	Sosta Mov.	Annotazioni	Sosta disco	Sosta ticket	Transito ztl	Sosp. patente breve	Magg. notte	Utilizzabile dagli operatori abilitati
7	1 F) E 15	91703	03 SOSTA IN ZONA A PAGAMENTO OLTRE I LIMITI	66,00	46,20	0	0		01/01/2007	01/01/2003	01/01/2007									Verbali CA & SP
7	1 A) E 15	91704	SOSTA LIMITATA (DISCO ORARIO)	26,00	18,20	0	0		01/01/2021	01/01/1997	01/01/2021									Verbali CA & SP
7	1 D) E 14	00702	SOSTA IN SPAZI RISERVATI AGLI ORGANI DI POLIZIA	42,00	29,40	0	0		01/01/2021	01/01/1997	01/01/2021									Verbali CA & SP
7	1 D) E 14		SOSTA IN SPAZI RISERVATI MEZZI VIGILI DEL FUOCO	42,00	29,40	0	0		01/01/2021	01/01/1997	01/01/2021									Verbali CA & SP
7	1 D) E 14	00721	SOSTA IN SPAZI RISERVATI MEZZI DI SOCCORSO	42,00	29,40	0	0		01/01/2021	01/01/1997	01/01/2021									
7	9 E 14	14791	TRANSITO IN ZTL SENZA AUTORIZZAZIONE	83,00	58,10	0	0		01/01/2021	01/01/1997	01/01/2021									Verbali CA & SP
7	9 E 14	00718	TRANSITO IN ZONA PEDONALE SENZA AUTORIZZAZIONE	83,00	58,10	0	0		01/01/2021	01/01/1997	01/01/2021									
8	2		CIRCOLAZ. VIOLANDO DIVIETI (PICCOLE ISOLE)	430,00	301,00	0	0		01/01/2021	01/01/1999	01/01/2021									Verbali CA & SP
8	2		CIRCOLAZ. VIOLANDO OBBLIGHI (PICCOLE ISOLE)	430,00	301,00	0	0		01/01/2021	01/01/1999	01/01/2021									Verbali CA & SP
8	2		CIRCOLAZ. VIOLANDO LIMITAZIONI (PICCOLE ISOLE)	430,00	301,00	0	0		01/01/2021	01/01/1999	01/01/2021									Verbali CA & SP
